Number of Bodies,Name,Department,Classification,PB Reform,Regulatory Function,Description/Terms of Reference,Notes,Address,Phone,Email,Website,Chair,Chair's Remuneration (p.a. unless otherwise stated),Chief Executive / Secretary,Chief Executive / Secretary Remuneration,Public Meetings,Public Minutes,Register of Interests,Ombudsman,Last Annual Report,Last Review,Government Funding,Total Gross Expenditure,Staff employed,Audit Arrangements,OCPA Regulated,Chair Ministerial or non-ministerial Appt,"Chair
Paid or unpaid","Chair
No.Male","Chair
No.Female","Chair
No.Gender Unknown/ undeclared","Members
Ministerial or non-ministerial Appt","Members
Paid or unpaid?","Members
No. Male","Members
No. Female","Members
No. Gender Unknown/ undeclared",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Social Security Advisory Committee,Department for Work and Pensions,Advisory NDPB,Retain,No,Provides advice to the Secretary of State on proposals for the amendment of secondary legislation and on general social security matters as required.,Established 1980.  ,"5th Floor, Caxton House, Tothill Street, London SW1H 9NA.",020 7829 3354,ssac@dwp.gsi.gov.uk,http://gov.uk/SSAC,Paul Gray,"£20,000-25,000 ",Denise Whitehead,Civil Servant,No,Yes,Yes,PHSO,2013-14,2015,"£350,000","£310,000",4,N/A,Yes,Ministerial,Paid,1,-,-,Ministerial ,Paid,8,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sport England,"Department for Culture, Media and Sport",Executive NDPB,Retain and substantially reform,No,"Creating a sporting habit for life.
",Established 1997.  Sport England was to be merged under the Public Bodies reform programme - now to be retained. Currently undergoing Triennial review,"1st Floor, 21 Bloomsbury St,  London WC1B 3HF",020 7273 1551,Info@sportengland.org,http://www.sportengland.org/,Nick Bitel,"£40,000",Jennie Price,"£145,000-150,000",No,Yes,Yes,PHSO,2013-14,-,"£83,000,000","£88,910,000",240,NAO,Yes,Ministerial,Paid,1,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sports Grounds Safety Authority,"Department for Culture, Media and Sport",Executive NDPB,Retain,Yes,"To create the conditions for safe and enjoyable experiences for spectators at all sports grounds, not only in England and Wales, but around the world and to provide trusted advice and guidance, and use our experience and commitment to drive continuous improvement.
",-,"3rd Floor, East Wing, Fleetbank House, 2-6 Salisbury Square, London EC4Y 8JX",020 7930 6693,info@sgsamail.org.uk,http://www.safetyatsportsgrounds.org.uk/,Paul Darling QC,"£18,130",Ruth Shaw,"£78,230.00",No,Yes,Yes,PHSO,2013-14,-,"£1,178,000","£1,132,638",13,NAO,Yes,Ministerial,Paid,1,-,-,5 Ministerial,5 Paid,4,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Standards and Testing Agency,Department for Education,Executive Agency,-,Yes,"The Standards and Testing Agency (STA), an executive agency of the Department for Education, is responsible for the development and delivery of all statutory assessments from early years to the end of Key Stage 2, delivering the professional skills tests for prospective teachers and putting in place the logistics arrangements for completed general qualification scripts.",Established 2011.,"Earlsdon Park, 53-55 Butts Road, Earlsdon Park, Coventry CV1 3BH",0370 000 2288,assessments@education.gov.uk,http://www.education.gov.uk/aboutdfe/executiveagencies/b00198511/sta,-,-,Claire Burton,"£20,000 to £25,000",No,No,Yes,PHSO,2013-14,-,"£47,775,000","£46,245,000",100,NAO,No,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Student Loans Company,"Department for Business, Innovation and Skills",Executive NDPB,Retain,No,The SLC is a non-profit making government-owned organisation set up to provide loans and grants to students in universities and colleges in the UK.,Established 1989. Government funding and expenditure figures represent UK totals from BIS and the Devolved Administrations. ,"100 Bothwell Street, Glasgow G2 7JD",0141 306 2000,-,http://www.slc.co.uk/,Christian Brodie,"£50,000",Mick Laverty,"£160,000",No,Yes,Yes,PHSO,2013-14,2000,"£132,977,000","£134,745,000","2,554",KPMG,Yes,Ministerial,Paid,1,-,-,Ministerial,Paid,4,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tate,"Department for Culture, Media and Sport",Executive NDPB,Retain,No,To increase the publicÕs understanding and enjoyment of British art from the 16th century to the present day and of international modern and contemporary art.,Established 1897.,"Millbank, London, SW1P 4RG",020 7887 8888,info@tate.org.uk,http://www.tate.org.uk/,Lord Browne of Madingley,£0,Sir Nicholas Serota,"£185,000 - £190,000",No,Yes,Yes,PHSO,2013-14,-,"£32,149,000","£108,146,000","1,252",NAO,Yes,Ministerial,Unpaid,1,0,0,Ministerial,Unpaid,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Technical Advisory Board,Home Office,Advisory NDPB,Retain,No,To advise the Home Secretary on whether obligations imposed on communications service providers under the terms of the Regulation of Investigatory Powers Act 2000 (RIPA) are reasonable.,Established 2002.  New Chair from 1 April 2015 is Jonathan Hoyle. Chair receives a pro rata day rate for work undertaken on behalf of TAB.  Board members receive expenses only.,"The Technical Advisory Board, PO Box 38542, London SW1H 9YE",-,www.gov.uk/tab,https://www.gov.uk/government/organisations/technical-advisory-board,Peter Walker,£400 per day,M Dine (Secretary),Civil Servant,No,No,No,N/A,2012-13,2013,£0,£0,0,NAO,Yes,Ministerial,Paid,1,-,-,Ministerial,Unpaid,10,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Theatres Trust, The","Department for Culture, Media and Sport",Advisory NDPB,No longer an NDPB,Yes,"The Trust was established to promote the protection of theatres for the benefit of the nation. It is also a statutory consultee in the Planning system. Its remit covers England, Scotland and Wales.","Established 1976 by The Theatres Trust Act.  Government funding is through English Heritage.  To note the figures quoted are draft, and not officially signed off until the Theatres Trust AGM takes place.","22 Charing Cross Road, London WC2H 0QL",020 7836 8591,info@theatrestrust.org.uk,http://www.theatrestrust.org.uk/,Tim Eyles,£0,Mhora Samuel,"£60,000-70,000",No,No,Yes,PHSO and SPSO,2013-14,-,-,"£704,262",8,Saffery Champness,Yes,Ministerial,Unpaid,1,-,-,15 Ministerial,15 unpaid,10,5,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Traffic Commissioners and Deputies,Department for Transport,Tribunal NDPB,Retain,Yes,The seven Traffic Commissioners are appointed by the Secretary of State for Transport and have responsibility for: the licensing of the operators of heavy goods vehicles (HGVs) and of buses and coaches; the registration of local bus services and taking action against drivers of HGVs and (PSVs) public service vehicles in certain circumstances.,Established 1931. There are eight Traffic Commissioner areas - one person holds the posts for both Wales and the West Midlands. The Senior Traffic Commissioner is Beverley Bell. No appointments information provided as no board or committee. The gross expenditure figure covers the costs for Traffic Commissioners and Deputy Traffic Commissioners.  The administration support is provided by DVSA staff.,"Senior Traffic Commissioner Suite 4 Stone Cross Place, Stone Cross Lane, Golborne, Warrington, WA3 2SH
",01942 295021,Beverley.bell@otc.gsi.gov.uk,https://www.gov.uk/government/publications/traffic-commissioners,"Beverley Bell
Senior Traffic Commissioner","£120,436",-,-,No,No,Yes,-,2013-2014,2015,£0,"£1,451,000",0,NAO as part of DVSA,No,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Transport Focus,Department for Transport,Executive NDPB,Retain and substantially reform,No,"Transport Focus (officially the PassengersÕ Council) is the independent transport user watchdog, whose mission is to get the best deal for passengers and, since 30 March 2015, road users. Transport Focus represents rail passengers in England, Scotland and Wales, bus and tram passengers in England (outside London)  passengers on scheduled domestic coach services, and users of the strategic road network, in England.",Established by Railways Act 2005 (as amended). Previously Passenger Focus/Passengers' Council.  Anthony Smith returned from an unpaid sabbatical on 23 April 2014.,"3rd Floor, Fleetbank House, 2-6 Salisbury Square, London EC4Y 8JX",0300 123 0855,jon.carter@passengerfocus.org.uk,http://www.transportfocus.org.uk/,Jeff Halliwell,"£35,000",Anthony Smith,"£118,356
£125,485 Full Year Equivalent",Yes,Yes,Yes,PHSO,2013-2014,2015,"£4,950,000","£6,470,000",46,NAO,Yes,Ministerial,Paid,1,-,-,"7 Secretary of State
1 Scottish Ministers
1 Welsh Assembly
1 London Assembly",Paid,7,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Treasure Valuation Committee,"Department for Culture, Media and Sport",Advisory NDPB,Retain,No,"To recommend to the Secretary of State valuations for the items brought before it and to provide advice to the Secretary of State in cases where there is grounds for dispute (Treasure Act 1996 Code of Practice, para. 65-85).","The Department for Culture, Media and Sport provides £98,830 funding to The British Museum Great Court Ltd for the administration of the Treasure Act 1996 including servicing the Treasure Valuation Committee.","Great Russell Street, London WC1B 3DG",020 7323 8611,treasure@britishmuseum.orgÊ,http://finds.org.uk/treasure,Professor Lord Renfrew of Kaimsthorn,£0,Ian Richardson (Secretary),Civil Servant,No,Yes,Yes,PHSO,2011-12,2012,"£98,830","£98,830",0,-,Yes,Ministerial,Unpaid,1,-,-,7 Ministerial,7 unpaid,4,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Treasury Solicitor's Department (known as Government Legal Department from 1.4.15),Treasury Solicitor's Department ,Non Ministerial Department,-,No,The GLD provides legal services to Government departments and other publicly funded bodies in England and Wales. It also administers the estates of people who die intestate with no known kin and the beneficial assets of dissolved companies.,"The Treasury Solicitor's Department is also an Executive Agency.  The position of Chair of the Board and Chief Executive are held by the same person so the Chair information has been left blank with only the Chief Executive information listed. As at 31 March 2015, there are 3 non executive appointments to the Board.  The Treasury Solicitor's Department changed its name to the Government Legal Department with effect from 1 April 2015 but this return reflects the position as at 31 March 2015. ","1 Kemble Street, London, WC2B 4TS",020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,https://www.gov.uk/government/organisations/government-legal-department,-,-,Jonathan Jones,"£160,000-165,000",No,No,Yes,PHSO,2013-14,2001,"£3,689,000","£176,614,000","1,667",NAO,No,Non Ministerial,-,-,-,-,4 non-ministerial,4 paid,2,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tribunal Procedure Committee,Ministry of Justice,Advisory NDPB,Retain,No,"The Tribunal Procedure Committee was created by paragraph 22 of the Tribunals, Courts and Enforcement Act 2007 to make rules governing the practice and procedure in the FirstÐtier Tribunal and Upper Tribunal.",Established 2008.,"Area 4.38, 4th Floor, 102 Petty France, London, SW1H 9AJ",0203 334 4919,tpcsecretariat@justice.gsi.gov.uk,http://www.justice.gov.uk/about/tribunal-procedure-committee,Mr Justice Brian Langstaff,£0,Petya Kovacheva,Civil Servant,No,No,Yes,N/A,2012-13,-,£0,£0,2,-,Yes,Non-ministerial,Unpaid,1,-,-,4 ministerial / 4 non-ministerial,Unpaid,7,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Trinity House,Department for Transport,Executive NDPB,Retain,Yes,"Trinity House has powers and responsibilities in connection with the provision, maintenance, alteration, inspection and control of lighthouses, buoys and beacons for England and Wales,  the Channel Islands, and at Gibraltar. Trinity House carries out a number of Maritime Charitable activities which are outside of its role as an NDPB.","Trinity House was granted a Royal Charter by Henry VIII in 1514. There are no statutory Ministerial appointments but the Secretary of State nominates three Non Executive members to sit on the Board. It is an Executive NDPB only in its capacity as a lighthouse authority, as it also carries out functions as a private body in regards to deep sea pilotage licensing and as a charity. Trinity House (Lighthouse Service) is funded from light dues paid by ship owners using British and Irish Ports.  ","Trinity SquareÊÊTower Hill, City of London, Greater London EC3N 4DH",020 7481 6900,enquiries@thls.org,http://www.trinityhouse.co.uk/,Captain Ian McNaught,-,Captain Ian McNaught,"£100,000-120,000",No,Yes,Yes,PHSO,2013-2014,2014,£0,"£37,105,109",305,NAO,No,Non Ministerial,Paid,1,-,-,Non-ministerial,Paid,6,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,UK Anti Doping,"Department for Culture, Media and Sport",Executive NDPB,Retain,No,"The UKÕs National Anti-Doping Organisation, as defined in the World Anti-Doping Code.  UK Anti-Doping protects the right of athletes to compete in doping-free sport.",-,"Fleetbank House, 2-6 Salisbury Square, London EC4Y 8AE",020 7766 7350,ukad@ukad.org.uk,http://www.ukad.org.uk/,David Kenworthy QPM DL,"£30,000- 35,000",Nicole Sapstead,"£93,500.00",No,Yes,Yes,PHSO,2013-14,-,"£5,635,000","£7,723,000",46,NAO,Yes,Ministerial,Paid,1,-,-,Ministerial,5 paid; 1 unpaid,5,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,UK Atomic Energy Authority,"Department for Business, Innovation and Skills",Executive NDPB,Retain,No,"To carry out research into nuclear fusion and related topics e.g. advanced materials for fusion and fission. To manage the Joint European Torus project on behalf of the European Community. To manage the Culham and Harwell sites. To manage historical liabilities, including the Authority Pension Schemes.","Established 1954. Responsible for fusion and related research and development, including operation of JET on behalf of the European Commission. Government funding is a combination of £7.1 million from BIS and £33.8m grant from the Engineering and Physical Sciences Research Council.","UK Atomic Energy Authority, Culham Science Centre, Abingdon, OX14 3DB",01235 528822,foienquiries@uk-atomic-energy.org.uk,https://www.gov.uk/government/organisations/uk-atomic-energy-authority,Professor Roger Cashmore ,"£25,000",Professor Steven Cowley,"£205,000-210,000",No,Yes,Yes,-,2013-14,2015,"£40,900,000","£103,537,000",670,NAO,Yes,Ministerial,Paid,1,-,-,Ministerial,Paid,4,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,UK Commission for Employment and Skills,"Department for Business, Innovation and Skills",Executive NDPB,Retain,Yes,"UKCES provides strategic leadership on skills and employment issues.  Led by a social partnership of Commissioners from large and small employers, trade unions and the voluntary sector, they aim to raise skill levels to help drive enterprise, create more and better jobs and economic growth.","Established 2008.  Chair remuneration represents payment to John Lewis Partnership for Chair's services in 2014/15.  CE remuneration includes London allowance of £3,500. Triennial Review began in December 2013.  Stage 1 was completed and UKCES await the formal outcome of Stage 2. 2013-14 annual report published in Houses of Parliament in July 2014. (2014/15 annual report was also published in Houses of Parliament in June 2015). Commissioners are eligible to claim remuneration of up to £4k plus T&S.","Renaissance House, Adwick Park, Wath-Upon-Dearne S63 5NB, Sanctuary Buildings, 20 Great Smith Street, London SW1P 3BT",01709 774800,info@ukces.org.uk,https://www.gov.uk/government/organisations/uk-commission-for-employment-and-skills,Charlie Mayfield,"£33,600",Michael Davis,"£128,500",No,No,Yes,PHSO,2013-14,2013,"£33,988,000","£37,563,000",114,NAO,Yes,Ministerial,Paid,1,-,-,Ministerial,Yes - Members are eligible to claim remuneration of up to £4k plus T&S,15,8,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,UK Debt Management Office,Her Majesty's Treasury,Executive Agency,-,No,"The DMO's main role is to carry out the Government's debt management policy of minimising financing costs over the long term, taking account of risk, and to minimise the cost of offsetting the Government's net cash flows over time, while operating in a risk appetite approved by Ministers in both cases.",Established 1998.,"Eastcheap  Court, 11 Philpot Lane, London  EC3M 8UD",020 7862 6500,pressofficer@dmo.gsi.gov.uk,http://www.dmo.gov.uk/,-,-,Robert Stheeman,"155,000 - 160,000",No,No,Yes,PHSO,2013-14,-,"£17,137,000","£20,447,000",106,NAO,No,-,-,-,-,-,"1 Ministerial, 5 Non-ministerial",5 paid,5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,UK Hydrographic Office,Ministry of Defence,Executive Agency,-,No,"To provide navigation charts and other hydrographic products and services to Defence, UK and other Governments, and for commercial shipping.","Established 1996.  As a Trading Fund, UK Hydrographic Office (UKHO) raises its revenue through the sale of goods and services to customers.","UKHO, Admiralty Way, Taunton, Somerset, TA1 2DN",01823 337900,customerservices@ukho.gov.uk,http://www.ukho.gov.uk/,Adam Singer,"£28,000",John Humphrey,"£115,000 - £120,000",No,No,Yes,PHSO,2013-14,2009/10,"£12,666,000","£101,400,000",946,NAO,No,Ministerial,Paid,-,1,-,Non-Ministerial,3 Paid 4 Unpaid,5,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,UK Space Agency,"Department for Business, Innovation and Skills",Executive Agency,-,Yes,"The UK Space Agency was established to lead and foster the growing UK Space sector, delivering a world-class space programme with maximum economy, scientific and social benefit. The Agency drives the British contribution to collaborative efforts on space, represents the UK sector on the international stage and works to inspire the next generation of space scientists and technologists. The Agency is also responsible for the licensing regime under the Outer Space Act 1986 to secure compliance with international obligations on launching and operation of space objects. Taken together, the Agency aims to create a dynamic environment in which the UK space sector can meet its ambition to grow by a factor of four between 2010 and 2030.","The UK Space Agency was established to lead and foster the growing UK Space sector, delivering a world-class space programme with maximum economy, scientific and social benefit. The Agency drives the British contribution to collaborative efforts on space, represents the UK sector on the international stage and works to inspire the next generation of space scientists and technologists. The Agency is also responsible for the licensing regime under the Outer Space Act 1986 to secure compliance with international obligations on launching and operation of space objects. Taken together, the Agency aims to create a dynamic environment in which the UK space sector can meet its ambition to grow to £40bn by 2030.","Polaris House, North Star Avenue, Swindon, Wilts SN2 1SZ",020 7215 5000,-,http://www.bis.gov.uk/ukspaceagency,Rob Douglas,"£8,000",David Parker,"£90,000-95,000",Yes,Yes,Yes,PHSO,2013-14,-,"£304,494,000","£342,098,000",63,NAO,No,Ministerial,Paid,1,-,-,Ministerial,Paid,2,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
